Building Name,ADDRESS
BLAISDELL HALL,901 W. PENNSYLVANIA URBANA
SAUNDERS HALL,902 COLLEGE COURT URBANA
BABCOCK HALL,1002 COLLEGE COURT URBANA
CARR HALL,1001 W. PENNSYLVANIA URBANA
PENNSYLVANIA LOUNGE BUILDING,906 W. COLLEGE CT. URBANA
ILLINI UNION BOOKSTORE,807/809 S. WRIGHT CHAMPAIGN
ENVIRONMENTAL RESEARCH ANNEX,1009 W. WESTERN URBANA
COMPUTING APPLICATIONS BUILDING,605 E. SPRINGFIELD CHAMPAIGN
NATURAL RESOURCES BUILDING,607 E. PEABODY CHAMPAIGN
NUCLEAR PHYSICS LABORATORY,25 E. STADIUM DR. CHAMPAIGN
BUSEY HALL,1111 W. NEVADA URBANA
MECHANICAL ENGINEERING BUILDING,1206 W. GREEN URBANA
DAVENPORT HOUSE,807  S. WRIGHT ST. CHAMPAIGN
POMOLOGY GREENHOUSE-HORT FIELD LAB,1803 S. ORCHARD URBANA
EVANS HALL,1115 W. NEVADA URBANA
ROGER ADAMS LABORATORY,600 S. MATHEWS URBANA
NUCLEAR ENGINEERING LABORATORY,103 S. GOODWIN URBANA
ACTIVITIES & RECREATION CENTER,201 E. PEABODY CHAMPAIGN
"203 S GREGORY, URBANA",203 S. GREGORY URBANA
ABBOTT POWER PLANT,1117 S. OAK CHAMPAIGN
FSI - FIREMANSHIP TRAINING FACILITIES,11 GERTY DR. CHAMPAIGN
RADIO TRANSMITTER STATION,2520 S. FIRST ST. RD. CHAMPAIGN
NATIONAL SOYBEAN RESEARCH CENTER,1101 W. PEABODY URBANA
MUMFORD HOUSE,1403 W. LORADO TAFT URBANA
LEVIS FACULTY CENTER,919 W. ILLINOIS URBANA
GEOLOGICAL SURVEY LABORATORY,1116 S. OAK CHAMPAIGN
"810 S SIXTH, CHAMPAIGN",810 S. SIXTH CHAMPAIGN
COBLE HALL,801 S. WRIGHT CHAMPAIGN
