Building No.,Building Name,Address,City,ZIP
848,SHEET METAL BARN - WEED LAB - USDA,W. HAZELWOOD DR.,URBANA,61801
849,SHEET METAL BARN - AGRONOMY,W. HAZELWOOD DR.,URBANA,61801
850,SOIL PHYSICS BUILDING - USDA,1310 W. HAZELWOOD DRL.,URBANA,61801
851,RAIN DROP TOWER BUILDING - AGRONOMY,W. HAZELWOOD DR.,URBANA,61801
852,GRAIN DRYING BUILDING - AGRONOMY,W. HAZELWOOD DR.,URBANA,61801
853,USDA GROWTH CHAMBER BUILDING,W. HAZELWOOD DR.,URBANA,61801
854,MACHINE STORAGE BUILDING,W. HAZELWOOD DR.,URBANA,61801
855,DAIRY EXPERIMENTAL ROUND BARNS,1201 W. ST. MARY'S RD.,URBANA,61801
856,DAIRY EXPERIMENTAL ROUND BARNS,1201 W. ST. MARY'S RD.,URBANA,61801
857,DAIRY EXPERIMENTAL ROUND BARNS,1201 W. ST. MARY'S RD.,URBANA,61801
858,"1101 WEST ST MARY'S ROAD, U",1101 W. ST. MARY'S RD.,URBANA,61801
859,CROP SCIENCE RESEARCH & EDUC. CTR.,2008 S. WRIGHT ST.,URBANA,61801
860,NEW CALF BARN - ROUND BARNS,1201 W. GOODWIN AVE.,URBANA,61801
861,BRICK GARAGE LAB - ROUND BARNS,"1911 S. GOODWIN, AVE.",URBANA,61801
862,OPEN FRONT CATTLE BARN,"1811 S. FOURTH ST., EXT.",CHAMPAIGN,61820
863,CALF BARN,1201 W. ST. MARY'S RD.,URBANA,61801
864,RABBIT SHELTER,W. ST. MARY'S RD.,URBANA,61801
865,PLANT PEST DIAGNOSTIC CLINIC,1401 W. ST. MARY'S RD.,URBANA,61801
866,SWINE FINISHING - BLDG A,3502 S. FIRST ST.,CHAMPAIGN,61820
867,SWINE FINISHING - BLDG B,3502 S. FIRST ST.,CHAMPAIGN,61820
868,CAGE LAYER HOUSE,W. ST. MARY'S RD.,URBANA,61801
869,BROODING AND REARING HOUSE,W. ST. MARY'S RD.,URBANA,61801
870,ANIMAL HUSBANDRY POULTRY RES & GAR,1402 W. ST. MARY'S RD.,URBANA,61801
871,ANIMAL HUSBANDRY POULTY BREEDING PLT,W. ST. MARY'S RD.,URBANA,61801
872,DOG METABOLISM UNIT,W. ST. MARY'S RD.,URBANA,61801
873,SHEET METAL POULTRY SHED,W. ST. MARY'S RD.,URBANA,61801
874,ANIMAL HUSBANDRY POULTRY PLANT,W. ST. MARY'S RD.,URBANA,61801
875,ANIMAL HUSBANDRY POULTRY BARN,1301 W. GREGORY DRIVE,URBANA,61801
876,ALUMINUM POULTRY SHED,W. ST. MARY'S RD.,URBANA,61801
877,POULTRY RESEARCH LAYING FACILITY,W. ST. MARY'S RD.,URBANA,61801
878,GARAGE - HORTICULTURE FIELD LAB,S. ORCHARD,URBANA,61801
879,FOOD STOR SHED-HORT FIELD LAB,S. ORCHARD,URBANA,61801
880,CANINE UNIT,W. ST. MARY'S RD.,URBANA,61801
881,GROUNDS STORAGE BARN,2306 S. LINCOLN,URBANA,61801
882,STORAGE BUILDING - PELL FARM,WINDSOR RD.,URBANA,61801
884,POLLINATARIUM,606 W. WINDSOR RD.,URBANA,61801
885,HORTICULTURE FIELD RESEARCH LAB,S. LINCOLN,URBANA,61801
886,WOODY ORNAMENTALS GREENHOUSE,S. LINCOLN,URBANA,61801
887,TURF GRASS RESEARCH BLDG,LINCOLN AVE.,URBANA,
888,ANIMAL RESEARCH BARN-PHYSL RES LAB,"301 E. HAZELWOOD, DR.",CHAMPAIGN,61820
889,ANIMAL GENETICS POLE BARN STORAGE,"301 E. HAZELWOOD, DR.",CHAMPAIGN,61820
890,AMMUNITION STORAGE - 3 BLDGS,WINDSOR RD.,CHAMPAIGN,61820
891,PHYSIOLOGY RES LAB-GARAGE WEST,301 E. HAZELWOOD DR.,CHAMPAIGN,61820
892,PHYSIOLOGY RES LAB-GARAGE EAST,301 E. HAZELWOOD DR.,CHAMPAIGN,61820
893,ANIMAL SCI SUPR RESIDENCE & GARAGE,E. HAZELWOOD DR.,CHAMPAIGN,61820
894,MOORMAN RES FARM-SOUTH BARN,2201 S. FOURTH ST. EXT.,CHAMPAIGN,61820
895,MOORMAN RES FARM-GATE HOUSE,2201 S. FOURTH ST. EXT.,CHAMPAIGN,61820
896,MOORMAN RES FARM-NC-23,2201 S. FOURTH ST. EXT.,CHAMPAIGN,61820
897,MOORMAN RES FARM-BOAR BARN,2201 S. FOURTH ST. EXT.,CHAMPAIGN,61820
898,MOORMAN RES FARM-SOW BARN,2201 S. FOURTH ST. EXT.,CHAMPAIGN,61820
899,MOORMAN RES FARM-PHYSIOLOGY BARN 2,301 E. HAZELWOOD DR.,CHAMPAIGN,61820
 900-999,,,,
900,MOORMAN RES FARM-PHYSIOLOGY BARN 1,301 E. HAZELWOOD DR.,CHAMPAIGN,61820
901,MOORMAN RES FARM-1A,2201 S. FOURTH ST. EXT.,CHAMPAIGN,61820
902,MOORMAN RES FARM-2A,2201 S. FOURTH ST. EXT.,CHAMPAIGN,61820
903,MOORMAN RES FARM-3A AND 4A,2201 S. FOURTH ST. EXT.,CHAMPAIGN,61820
904,MOORMAN RES FARM-5A,2201 S. FOURTH ST. EXT.,CHAMPAIGN,61820
905,MOORMAN RES FARM-FARROWING HOUSE,2201 S. FOURTH ST. EXT.,CHAMPAIGN,61820
906,MOORMAN RES FARM-1B,2201 S. FOURTH ST. EXT.,CHAMPAIGN,61820
907,MOORMAN RES FARM-2B,2201 S. FOURTH ST. EXT.,CHAMPAIGN,61820
908,MOORMAN RES FARM-3B,2201 S. FOURTH ST. EXT.,CHAMPAIGN,61820
909,MOORMAN RES FARM-4B,2201 S. FOURTH ST. EXT.,CHAMPAIGN,61820
910,MOORMAN RES FARM-5B,2201 S. FOURTH ST. EXT.,CHAMPAIGN,61820
911,MOORMAN RES FARM-OXIDATN DITCH BLDG,2201 S. FOURTH ST. EXT.,CHAMPAIGN,61820
912,IMPORTED SWINE RESEARCH LABORATORY,2201 S. FOURTH ST. EXT.,CHAMPAIGN,61820
913,MOORMAN RES FARM-1C,2201 S. FOURTH ST. EXT.,CHAMPAIGN,61820
914,MOORMAN RES FARM-2C AND 3C,2201 S. FOURTH ST. EXT.,CHAMPAIGN,61820
915,MOORMAN RES FARM-4C,2201 S. FOURTH ST. EXT.,CHAMPAIGN,61820
916,MOORMAN RES FARM-1D,2201 S. FOURTH ST. EXT.,CHAMPAIGN,61820
917,MOORMAN RES FARM-2D,2201 S. FOURTH ST. EXT.,CHAMPAIGN,61820
918,MOORMAN RES FARM-3D,2201 S. FOURTH ST. EXT.,CHAMPAIGN,61820
919,MACHINE SHED-LINCOLN AVE DAIRY,2301 S. LINCOLN,URBANA,61801
920,NEW CALF BARN-LINCOLN AVE DAIRY,2301 S. LINCOLN,URBANA,61801
921,NEW BULL BARN-LINCOLN AVE DAIRY,2301 S. LINCOLN,URBANA,61801
922,MATERNITY BARN-LINCOLN AVE DAIRY,2301 S. LINCOLN,URBANA,61801
923,GOAT BARN-LINCOLN AVE DAIRY,2301 S. LINCOLN,URBANA,61801
924,DAIRY HERDSMAN'S COTTAGE-L AVE DAIRY,2301 S. LINCOLN,URBANA,61801
925,SOUTH BARN AND CALF HOUSE-LAD,2301 S. LINCOLN,URBANA,61801
926,NORTH BARN AND MILK HOUSE-LAD,2301 S. LINCOLN,URBANA,61801
927,LOAFING BARN-DAIRY CAT MECH CTR-LAD,2301 S. LINCOLN,URBANA,61801
928,SHOP AND STORAGE BUILDING-LAD,2301 S. LINCOLN,URBANA,61801
929,'T' LOAFING BARN-LINCOLN AVE DAIRY,2301 S. LINCOLN,URBANA,61801
930,STORAGE SHED-SOUTH WRIGHT EXT-USDA,S. WRIGHT ST. EXT.,CHAMPAIGN,61820
931,AGRONOMY FIELD LABORATORY-USDA,"S. WRIGHT ST. EXT.,",CHAMPAIGN,61820
932,DAIRY HERDSMAN'S OFFICE-LAD,2301 S. LINCOLN,URBANA,61801
934,MILKING PARLOR-LINCOLN AVE DAIRY,2301 S. LINCOLN,URBANA,61801
935,FOOD SCIENCE DRY PROCESSING LAB,E. HAZELWOOD DR.,CHAMPAIGN,61820
936,HORTICULTURE BARN,LINCOLN EXTENDED,URBANA,
937,FEED MIXING BARN-LINCOLN AVE DAIRY,"2301 S. LINCOLN,",URBANA,61801
938,MILKING PARLOR-LINCOLN AVE DAIRY,2301 S. LINCOLN,URBANA,61801
939,DAIRY FREE STALL BARN-LAD,"2301 S. LINCOLN,",URBANA,61801
940,GARAGE,S. FIRST ST.,CHAMPAIGN,61820
941,TECHNOLOGY COMMERICIALIZATION BLDG,"2004 S. WRIGHT, EXT.",URBANA,61801
942,GARAGE-SHEEP FARM,E. ST. MARY'S ROAD,CHAMPAIGN,61820
943,INTENSIVE CARE NURSERY,E. HAZELWOOD DR.,CHAMPAIGN,61820
944,SCALE HOUSE-LINCOLN AVE DAIRY,2301 S. LINCOLN,URBANA,61801
945,DAIRY BARN-SOUTH RACE STREET,S. RACE,URBANA,61801
946,CORN CRIB,S. RACE,URBANA,
947,IMPLEMENT SHED,S. RACE,URBANA,61801
948,FOREST SCIENCE GARAGE - S RACE ST,S. RACE,URBANA,61801
949,IMPLEMENT SHED-AG ENG-S RACE ST,3603 SOUTH RACE,URBANA,61801
950,AGRICULTURAL ENG STORAGE-S RACE ST,3603 SOUTH RACE,URBANA,61801
951,IMPLEMENT SHED-FOREST SCI-S RACE ST,S. RACE,URBANA,61801
952,MCCULLOUGH FARM HS-VET MED,S. RACE,URBANA,
953,DOWNES ANNEX,S. RACE,URBANA,61801
954,GARAGE-VET MED,S. RACE,URBANA,
955,SOUTHWEST BARN-VET MED-S RACE ST,S. RACE,URBANA,61801
956,NORTHWEST BARN-VET MED-S RACE ST,"3305 S. RACE,",URBANA,61801
957,SUPERVISOR'S RESIDENCE-SWINE RES CTR,3502 S. FIRST,CHAMPAIGN,61820
959,VETERINARY RES FARM-FARROWING HOUSE,"S. RACE, URBANA",URBANA,61801
960,GEOPHYSICAL OBSERVATORY-HSE GREIN FM,1002 W. CURTIS RD.,URBANA,61801
961,VETERINARY RES FARM-HOG BARN,S. RACE,URBANA,61801
962,VETERINARY RES FARM-POULTRY BARN,S. RACE,URBANA,61801
963,VETERINARY RES FARM-CLINICAL RES BAR,S. RACE,URBANA,61801
964,VETERINARY RES FARM-ISOLATION BLDG,S. RACE,URBANA,61801
965,VETERINARY RES FARM-ISOLATION BLDG,S. RACE,URBANA,61801
966,VETERINARY RES FARM-LOCKER ROOM BLDG,S. RACE,URBANA,61801
967,VETERINARY RES FARM-RADIOACTIVE R B,S. RACE,URBANA,61801
968,CORN CRIB,S. RACE,URBANA,61801
969,VETERINARY RES FARM-PATHOLOGICAL INC,S. RACE,URBANA,61801
970,AGRICULTURE ENGINEERING RESEARCH #1,S. LINCOLN EXT.,URBANA,61801
971,STRUCTURES PHYSIOLOGY LABORATORY,3305 S. RACE,URBANA,61801
972,FREE STALL BARN-LINCOLN AVE DAIRY,2301 S. LINCOLN,URBANA,61801
973,VETERINARY RES FARM-HORSE SHELTER,S. RACE,URBANA,61801
974,USDA SOYBEAN LABORATORY,3603 SOUTH RACE,URBANA,61801
975,SERVICE BUILDING - PELL FARM,WINDSOR RD.,URBANA,61801
976,GARAGE - PELL FARM,WINDSOR RD.,URBANA,61801
977,FRUIT BUILDING - PELL FARM,WINDSOR RD.,URBANA,61801
978,APIARY BUILDING - PELL FARM,WINDSOR RD.,URBANA,61801
979,MACHINE STORAGE BUILDING - PELL FARM,WINDSOR RD.,URBANA,61801
980,AGRICULTURE ENGINEERING RESEARCH #2,LINCOLN EXTENDED,URBANA,61801
981,VEGETABLE RESEARCH FARM - GARAGE,LINCOLN EXTENDED,URBANA,61801
982,APICULTURE CAGE HDHS-PELL FR,WINDSOR RD.,URBANA,
983,MACHINERY STORAGE BUILDING,3603 SOUTH RACE,URBANA,61801
984,MACHINERY STORAGE BUILDING #2,3603 SOUTH RACE,URBANA,61801
985,GREIN FARM - BARN,W. CURTIS ROAD,URBANA,61801
986,GREIN FARM-CORN CRIB,E. CURTIS RD.,URBANA,
987,GREIN FARM - STORAGE SHED 1,W. CURTIS ROAD,URBANA,61801
988,GREIN FARM - STORAGE SHED 2,W. CURTIS ROAD,URBANA,61801
989,GREIN FARM - E E STORAGE SHED,W. CURTIS ROAD,URBANA,61801
990,SOYBEAN DAMAGE LAB - AN ENG FARM,3603 SOUTH RACE,URBANA,61801
991,SOYBEAN RESEARCH - AGRONOMY FARM,1308 W. HAZELWOOD DR.,URBANA,61801
992,POMOLOGY STORAGE BLDG - PELL FARM,WINDSOR RD.,URBANA,61801
993,PHARMACOLOGY & TOXICOLOGY,S. RACE,URBANA,
994,POULTRY ISOLATION UNIT - VET RES FAR,"S. RACE, URBANA",URBANA,61801
995,CONFINEMENT BEEF COW BARN,E. ST. MARY'S RD.,CHAMPAIGN,61820
996,DRY COW FREE - STALL BARN,2301 S. LINCOLN,URBANA,61801
997,HEIFER SHED - LINCOLN AVENUE DAIRY,2301 S. LINCOLN,URBANA,61801
998,SOLIDS SEPARATION UNIT - LAD,2301 S. LINCOLN,URBANA,61801
999,FREE STALL POLE BUILDING - LAD,2301 S. LINCOLN,URBANA,61801
 1000-1099,,,,
1000,SUPERVISOR'S RESIDENCE - BEEF,501 E. ST. MARY'S RD.,CHAMPAIGN,61820
1001,CRUSE FARM PUMP STATION,2923 S. FIRST ST.,CHAMPAIGN,61820
1002,NEMATOLOGY STORAGE BUILDING,WINDSOR ROAD,URBANA,61801
1003,ACID RAIN FIELD BUILDING,S. WRIGHT EXT.,CHAMPAIGN,61820
1004,CRUSE FARM STORAGE BUILDING,S. FIRST ST.,CHAMPAIGN,61820
1005,VET RES FARM-DOG HOUSING UNIT,S. RACE ST.,URBANA,61801
1006,VET RES FARM-SWINE FINISHING BLDG,3305 S. RACE ST.,URBANA,61801
1007,VET RES FARM-SWINE FARROWING & NURSY,3305 S. RACE ST.,URBANA,61801
1008,VET RES FARM-DOG SMALL RUMINANT BLDG,3305 S. RACE ST.,URBANA,61801
1009,VET RES FARM-SWINE GESTATION UNIT,3305 S. RACE ST.,URBANA,61801
1010,VET RES FARM-SERVICE BUILDING,3305 S. RACE ST.,URBANA,61801
1011,VET RES FARM-CATTLE CONFINEMENT FAC,S. RACE ST.,URBANA,61801
1012,VET RES FARM-HAY BARN,S. RACE ST.,URBANA,61801
1013,BEEF COW FACILITY,2612 S. FIRST ST.,CHAMPAIGN,61820
1014,BEEF COW FACILITY-CATTLE WKG SHLTR,"S. FOURTH ST., EXT.",URBANA,61801
1015,BEEF COW FACILITY-HAY STORAGE,"S. FOURTH ST., EXT.",URBANA,61801
1016,VEGETABLE CROPS SHOP & STOR BLDG,"2921 S. FIRST ST.,",CHAMPAIGN,61820
1017,AGRICULTURAL/PPFM WAREHOUSE STOR A,S. WRIGHT EXT.,CHAMPAIGN,61820
1018,ENGINEERING WAREHOUSE STOR B,"S. WRIGHT EXT.,",CHAMPAIGN,61820
1019,ENGINEERING WAREHOUSE STOR C,1921 S. WRIGHT EXT.,CHAMPAIGN,61820
1020,ELECTRICAL ENG STOR BLDG,2121 S. GIRIFFITH DR.,CHAMPAIGN,61820
1021,IMPLEMENT STORAGE BLDG-LAD,S. LINCOLN,URBANA,61801
1022,HAY STORAGE-DAIRY,S. LINCOLN,URBANA,
1023,FEED LOADING-LINCOLN AVE DAIRY,2201 S. LINCOLN,URBANA,61801
1024,LARGE HEIFER REARING-LAD,2201 S. LINCOLN,URBANA,61801
1025,SMALL HEIFER REARING-LAD,2201 S. LINCOLN,URBANA,61801
1026,WATER SURVEY WAREHOUSE,2107 S. GRIFFITH DR.,CHAMPAIGN,61820
1027,AERONOMY FIELD STATION,1600E AND .7 MILES N OF 1900N,URBANA,61801
1028,LASER - RADAR FACILITY,1600E AND .7 MILES N OF 1900N,URBANA,61801
1029,SWINE RES CTR-GENERATOR BLDG,S. FIRST ST.,CHAMPAIGN,61820
1030,SWINE RES CTR-HEADQUARTERS BLDG,3502 S. FIRST ST.,CHAMPAIGN,61820
1031,SWINE RES CTR-FEED CENTER,3502 S. FIRST ST.,CHAMPAIGN,61820
1032,SWINE RES CTR-ISOLATION BLDG,3502 S. FIRST ST.,CHAMPAIGN,61820
1033,SWINE RES CTR-NURSERY,3502 S. FIRST ST.,CHAMPAIGN,61820
1034,SWINE RES CTR-GROWING BLDG #1,3502 S. FIRST ST.,CHAMPAIGN,61820
1035,SWINE RES CTR-GROWING BLDG #2,3502 S. FIRST ST.,CHAMPAIGN,61820
1036,SWINE RES CTR-FINISHING BLDG #1,3502 S. FIRST ST.,CHAMPAIGN,61820
1037,METAL STORAGE BUILDING,192 S. WRIGHT ST. EXT.,CHAMPAIGN,61820
1038,ILLINI UNION WAREHOUSE,50 E. HAZELWOOD DR,CHAMPAIGN,61820
1039,CORE STORAGE BUILDING,1901 S. OAK ST.,CHAMPAIGN,61820
1040,O&M STORAGE BUILDING,W. HAZELWOOD DR.,URBANA,61801
1041,AGRICULTURE STORAGE BUILDING,W. HAZELWOOD DR.,URBANA,61801
1042,MODULAR INFECTIOUS DIS CONT BLDG #1,RACE STREET,URBANA,61801
1043,MODULAR INFECTIOUS DIS CONT BLDG #2,RACE STREET,URBANA,61801
1044,COMMODITIES STORAGE BUILDING,NULL,URBANA,61801
1045,WILDLIFE BUILDING,W. HAZELWOOD DR.,CHAMPAIGN,61820
1046,CRUSE FARM - LARGE BARN,NULL,URBANA,61801
1047,CRUSE FARM - MASONRY GARAGE,NULL,URBANA,61801
1048,PEST MANAGEMENT LABORATORY,1819 S. OAK ST.,CHAMPAIGN,61820
1049,ORCHARD SOUTH APARTMENTS (2112),2112 S. ORCHARD,URBANA,61801
1050,ORCHARD SOUTH APARTMENTS (2113),2113 HAZELWOOD,URBANA,61801
1051,ORCHARD SOUTH APARTMENTS (2114),2114 S. ORCHARD,URBANA,61801
1052,ORCHARD SOUTH APARTMENTS (2116),2116 S. ORCHARD,URBANA,61801
1053,ORCHARD SOUTH APARTMENTS (2118),2118 S. ORCHARD,URBANA,61801
1054,ORCHARD SOUTH APARTMENTS (2120),2120 S. ORCHARD,URBANA,61801
1055,ORCHARD SOUTH APARTMENTS (2201),2201 HAZELWOOD,URBANA,61801
1056,ORCHARD SOUTH APARTMENTS (2202),2102 S. ORCHARD,URBANA,61801
1057,ORCHARD SOUTH APARTMENTS (2203),2203 HAZELWOOD,URBANA,61801
1058,ORCHARD SOUTH APARTMENTS,2205 HAZELWOOD,URBANA,61801
1059,SHEEP FARM - RESIDENCE TRALR,201   ST. MARY'S ROAD - BLDG 1059,CHAMPAIGN,
1060,HORSE RECEIVING BARN,501 E. ST. MARY'S RD.,CHAMPAIGN,61820
1064,SWINE ISOLATION UNIT,NULL,URBANA,61801
1065,SWINE MOBLIE HOME,811 W. CURTIS ROAD,URBANA,61801
1066,MACHINE SHED - AN SCI,811  W. CURTIS ROAD,URBANA,
1067,MACHINE STORAGE CRIB,811  W. CURTIS ROAD,URBANA,
1068,PTI PAVILION,609 1/2 E. CURTIS ROAD,CHAMPAIGN,61820
1069,POLICE TRAINING INSTITUTE-TACTICAL,609 1/2 E. CURTIS ROAD,CHAMPAIGN,61820
1070,POLICE TRAINING TACTILE,609 1/2 E. CURTIS ROAD,CHAMPAIGN,61820
1071,EARLY CHILD DEVELOPMENT LAB,1005 W. NEVADA,URBANA,61801
1072,HAZELWOOD DRIVE UTILITIES CENTER,1910 S. OAK STREET,CHAMPAIGN,61820
1073,FORBES NATURAL HISTORY BUILDING,1816 S. OAK STREET,CHAMPAIGN,61820
1074,Z BUILDING,1901 S. FIRST ST.,CHAMPAIGN,61820
1075,MOTOROLA BUILDING,"2001 S. FIRST, SUITE 201",CHAMPAIGN,61820
1076,SWINE NURSERY TRAILER - EAST,NULL,CHAMPAIGN,61820
1077,SWINE NURSERY TRAILER-WEST,3502  S. FIRST ST.,CHAMPAIGN,
1078,PLAYFIELD FACILITY,S. WRIGHT STREET,URBANA,
1079,ILLINI UNION WAREHOUSE #2,509 W. HAZELWOOD DRIVE,URBANA,61801
1080,INSTITUTE FOR GENOMIC BIOLOGY,1206  W. GREGORY DRIVE,URBANA,61801
1081,CHANUTE FACILITY - STORAGE SHED,1615 TITAN DRIVE,RANTOUL,61866
1083,TECHNOLOGY PLAZA,616 E. GREEN,CHAMPAIGN,61820
1084,WATER SURVEY MAINT. SHOP,2208 GRIFFITH DRIVE,CHAMPAIGN,61820
1085,SOYFACE BARN,NULL,URBANA,61801
1087,1902 FOX DRIVE,1902 FOX DRIVE,CHAMPAIGN,61820
1088,DAIRY FREE STALL BARN,2301 S. LINCOLN,URBANA,61801
1089,CERL-POLE BARN 11,2902 NEWMARK DR.,CHAMPAIGN,61820
1090,HAY STORAGE BUILDING,0 S. RACE STREET,URBANA,61801
1091,1011 W. UNIVERSITY AVE.,1011 W. UNIVERSITY AVE.,URBANA,61801
1092,ABBOTT SCRUBBER BUILDING,21 E. ARMORY,CHAMPAIGN,61820
1093,AERODYNAMICS RESEARCH LABORATORY,1021 W WESTERN AVENUE,URBANA,61801
1094,NORTH CAMPUS PARKING DECK,1201 W. UNIVERSITY AVENUE,URBANA,61801
1095,ENTERPRISE WORKS @ ILLINOIS,60 HAZELWOOD DRIVE,CHAMPAIGN,61820
1096,OAK STREET LIBRARY FACILITY,809 S. OAK STREET,CHAMPAIGN,61820
1097,1313 W. OLD CHURCH ROAD,1313 W. OLD CHURCH ROAD,URBANA,61801
1098,ISGS POLE BARN WEST,2909  S LINCOLN AVENUE,URBANA,
1099,WILDLIFE RESEARCH LABORATORY,1110 W CURTIS,URBANA,61801
 1100-1199,,,,
1100,AVIARY AC BUILDING,# 1100 - 1112 W CURTIS ROAD,URBANA,61801
1101,PONDS SITE LABORATORY,3505 S. LINCOLN AVE.,URBANA,61801
1102,ISGS POLE BARN EAST,2911  S LINCOLN AVENUE,URBANA,
1103,Z-2 BUILDING,2001 SOURTH FIRST STREET,CHAMPAIGN,61820
1104,WATER SURVEY RESEARCH CENTER #1,2204 S. KIRK DR.,CHAMPAIGN,61820
1105,WATER SURVEY RESEARCH CENTER - SHED,30 BAILEY DR.,CHAMPAIGN,61820
1106,WATER SURVEY RESEARCH CENTER #3,2208 S. KIRK DR.,CHAMPAIGN,61820
1107,WATER SURVEY RESEARCH CENTER #4,15 BAILEY DR.,CHAMPAIGN,61820
1108,WATER SURVEY RESEARCH CENTER #5,35 BAILEY DR.,CHAMPAIGN,61820
1109,WATER SURVEY RESEARCH CENTER #6,65 BAILEY DR.,CHAMPAIGN,61820
1110,WATER SURVEY RESEARCH CENTER #7,40 BAILEY DR.,CHAMPAIGN,61820
1111,WATER SURVEY RESEARCH CENTER #8,60 BAILEY DR.,CHAMPAIGN,61820
1112,WATER SURVEY RESEARCH CENTER #9,2210 S. KIRK DR.,CHAMPAIGN,61820
1114,1108 W. STOUGHTON,1108 W. STOUGHTON,CHAMPAIGN,61820
1115,"203 W. CURTIS, SUITE 1",513 W. CURTIS RD.,SAVOY,61874
1116,CERL-MAINBUILDING 2,2902 NEWMARK DR.,CHAMPAIGN,61820
1117,CERL-MAIN BUILDING 3,2902 NEWMARK DR.,CHAMPAIGN,61820
1118,CERL- TESS BUILDING,2902 NEWMARK DR.,CHAMPAIGN,61820
1119,CERL- SOLAR HOUSE 6,2902 NEWMARK DR.,CHAMPAIGN,61820
1120,CERL- CHEMICAL STORAGE BLDG. 7,2902 NEWMARK DR.,CHAMPAIGN,61820
1121,CERL-INCINERATOR BUILDING 8,2902 NEWMARK DRI.,CHAMPAIGN,61820
1122,CERL- UTILITIES BUILDING 9,2902 NEWMARK DR.,CHAMPAIGN,61820
1124,CERL- FOAM PANEL BUILDING 12,2902 NEWMARK DR.,CHAMPAIGN,61820
1125,CERL-TESS ANNEX 13,2902 NEWMARK DR.,CHAMPAIGN,61820
1126,CERL-GREENHOUSE,2902 NEWMARK DR.,CHAMPAIGN,61820
1127,CERL-SOUTH HALL,2902 NEWMARK DR.,CHAMPAIGN,61820
1128,CERL-UCHI,2902 NEWMARK DR.,CHAMPAIGN,61820
1129,CERL-NORTH HALL,2902 NEWMARK DR.,CHAMPAIGN,61820
1130,SCHNABEL LAB,2902 NEWMARK DR.,CHAMPAIGN,61801
1131,"203 W. CURTIS, SUITE 2",513 W. CURTIS RD.,SAVOY,61874
1132,"203 W. CURTIS, SUITE 3",513 W. CURTIS RD,SAVOY,61874
1133,CHRISTOPHER HALL,904 WEST NEVADA STREET,URBANA,61801
1137,C-10 PARKING STRUCTURE,812 S. FIFTH,CHAMPAIGN,61820
1139,WATER SURVEY SHOP & EQUIP. BLDG #11,2208 S. GRIFFITH DR.,CHAMPAIGN,61820
1140,GREGORY PLACE I,701 S. GREGORY,URBANA,61801
1145,ASIAN AMERICAN HOUSE,1210 W. NEVADA,URBANA,61801
1146,S. FARMS-BEEF CATTLE & SHEEP FIELD LAB,4900 S. RACE STREET,URBANA,61802
1147,S. FARMS-EQUIPMENT SHED,4900 S. RACE STREET,URBANA,61802
1148,S. FARMS-SHEEP BARN,4900 S. RACE STREET,URBANA,61802
1149,S. FARMS-MANURE SHED,4900 S. RACE STREET,URBANA,61802
1150,S. FARMS-FEED MIXING,4900 S. RACE STREET,URBANA,61802
1151,S. FARMS-BUNKERS,4900 S. RACE STREET,URBANA,61802
1152,S. FARMS-COW PENS #1,4900 S. RACE STREET,URBANA,61802
1153,S. FARMS-COW PENS #2,4900 S. RACE STREET,URBANA,61802
1154,S. FARMS-CALVING-ISOLATION-WORK AREA,4900 S. RACE STREET,URBANA,61802
1155,S. FARMS-HEIFER/BULL BARN #1,4900 S. RACE STREET,URBANA,61802
1156,S. FARMS-HEIFER/BULL BARN #2,4900 S. RACE STREET,URBANA,61802
1157,S. FARMS-COMMODITY SHED,4900 S. RACE STREET,URBANA,61802
1158,S. FARMS-HAY STORAGE,4900 S. RACE STREET,URBANA,61802
1159,S. FARMS-GROUP FEEDER BARN #1,4900 S. RACE STREET,URBANA,61802
1160,S. FARMS-GROUP FEEDER BARN #2,4900 S. RACE STREET,URBANA,61802
1161,S. FARMS-ISOLATION-WORK AREA,4900 S. RACE STREET,URBANA,61802
1162,S. FARM-INDIVIDUAL FEEDER BARN #1,4900 S. RACE STREET,URBANA,61802
1163,S. FARMS-INDIVIDUAL FEEDER BARN #2,4900 S. RACE STREET,URBANA,61802
1164,S. FARMS-METABOLISM,4900 S. RACE STREET,URBANA,61802
1165,BEE RESEARCH FACILITY,3515 SOUTH LINCOLN AVENUE,URBANA,61801
1166,MOTORCYCLE STORAGE,GERTY DRIVE,CHAMPAIGN,61820
1167,LINCOLN AVENUE EAST GEOL SURV WHSE,4900 S. RACE STREET,URBANA,61802
1168,LINCOLN AVENUE WEST GEOL SURV WHSE,4900 S. RACE STREET,URBANA,61802
1169,EXPOSURE REDUCTION HOUSING UNIT TRAILER A,4900 S. RACE STREET,URBANA,61802
1170,EXPOSURE REDUCTION HOUSING UNIT TRAILER B,4900 S. RACE STREET,URBANA,61802
1171,FSI - HAZMAT STORAGE BUILDING,11 EAST GERTY DRIVE,CHAMPAIGN,61820
1172,FSI - STORAGE BUILDING,11 EAST GERTY DRIVE,CHAMPAIGN,61820
1173,FSI - FIRE APPARATUS STORAGE BUILDING,11 EAST GERTY DRIVE,CHAMPAIGN,61820
1174,FSI - TWO STORY BURN BUILDING,11 EAST GERTY DRIVE,CHAMPAIGN,61820
1175,FSI - RESIDENTIAL BURN BUILDING,11 EAST GERTY DRIVE,CHAMPAIGN,61820
1176,FIRE SERVICE INSTITUTE - RTC PROP,11 EAST GERTY DRIVE,CHAMPAIGN,61820
