Building No.,Building Name,Address,City,ZIP
398,PHYSICAL PLANT STRG SALT SHED,1501  S OAK STREET,CHAMPAIGN,61820
399,SOILS MODEL TEST FACILITY - SCHNABEL,1412 INTERSTATE DRIVE,CHAMPAIGN,61821
 400-499,,,,
400,SPRAY CONTAINMENT BUILDING (GOLF CS),SAVOY,SAVOY,61874
401,ANIMAL SCIENCE CHILLER PLANT,1201 W. GREGORY DR.,CHAMPAIGN,61820
406,MORROW PLOTS,1400  W. GREGORY DR.,URBANA,
407,IRWIN INDOOR FOOTBALL FACILITY,301 E. PEABODY DR.,CHAMPAIGN,61820
408,RECEIVER & MICROWAVE STRUCTR,1108  W. MAIN STREET,URBANA,
409,ELECTRICAL AND COMPUTER ENGINEERING,306 N. WRIGHT ST.,URBANA,61801
410,BARDEEN QUADRANGLE,,URBANA,
411,CHANUTE FACILITY #916,1603 TITAN DRIVE,RANTOUL,61866
412,CHANUTE FACILITY #913,1319 TITAN DRIVE,RANTOUL,61866
 500-599,,,,
503,604 S. GREGORY ST.,604  S. GREGORY ST.,URBANA,
504,"1109 W MAIN, URBANA",1109 W. MAIN,URBANA,61801
505,1002 W. NEVADA,1002  W. NEVADA ST.,URBANA,
506,"909 W OREGON, URBANA",909 W. OREGON,URBANA,61801
507,"1817 &1819 S. NEIL ST, CHAMPAIGN",1819 S. NEIL ST,CHAMPAIGN,61820
508,1208 W. STOUGHTON,1208  W. STOUGHTON,URBANA,
509,"501 S. SIXTH, CHAMPAIGN",501 S. SIXTH,CHAMPAIGN,61820
511,1208 1/2 W. MAIN,1208 1/2 W. MAIN,URBANA,
512,1212 W. STOUGHTON,1212  W. STOUGHTON,URBANA,
513,ENGINEERING ANNEX,1011 W. WESTERN,URBANA,61801
515,1113 W. MAIN,1113  W. MAIN,URBANA,
516,"710 W. PARK, URBANA",710 W. PARK,URBANA,61801
518,1108 W. SPRINGFIELD,1108  W. SPRINGFIELD,URBANA,
519,"502 E JOHN, CHAMPAIGN",502 E JOHN,CHAMPAIGN,61820
520,201 W. SPRINGFIELD,201  W. SPRINGFIELD,CHAMPAIGN,
521,1114 W. SPRINGFIELD,1114  W. SPRINGFIELD,URBANA,
522,112 W. MAIN,112  W. MAIN,URBANA,
523,"201 W. CURTIS, SUITE 1",513 W. CURTIS RD.,CHAMPAIGN,61820
524,"1114 W CLARK, URBANA",1114 W. CLARK ST.,URBANA,61801
525,1104 W. MAIN,1104  W. MAIN,URBANA,
526,1110 W. SPRINGFIELD,1110  W. SPRINGFIELD,URBANA,
527,123 W. MAIN,123  W. MAIN,URBANA,
528,631 E. GREEN_703 S. WRIGHT_709 S. WRIGHT,703 S. WRIGHT,CHAMPAIGN,61820
529,ASSEMBLY HALL STORAGE BLDG,1800  S. FIRST,CHAMPAIGN,
530,DURST BUILDING - 1112 W. UNIVERSITY,1112 W. UNIVERSITY,URBANA,61801
531,"2212 FOX DRIVE, CHAMPAIGN",2212 FOX DRIVE,CHAMPAIGN,61820
532,"1107 S FOURTH, CHAMPAIGN",1107 S FOURTH,CHAMPAIGN,61820
533,"704 S. SIXTH, CHAMPAIGN",704 S. SIXTH,CHAMPAIGN,61820
534,"322 S. GREEN, CHAMPAIGN",322 S. GREEN,CHAMPAIGN,60607
535,"815 W. VANBUREN, CHICAGO",815 W. VANBUREN,CHICAGO,60607
536,"111 E. CHALMERS, CHAMPAIGN",111 E. CHALMERS,CHAMPAIGN,61820
537,"106 E. DANIEL, CHAMPAIGN",106 E. DANIEL,CHAMPAIGN,61820
538,"58 E. JOHN, CHAMPAIGN",58 E. JOHN,CHAMPAIGN,61820
539,"309 E. HEALY, CHAMPAIGN",309 E. HEALY,CHAMPAIGN,61820
540,"200 S. WACKER DR, CHICAGO",200 S. WACKER DR,CHICAGO,60606
541,"2301 FOX DRIVE, CHAMPAIGN",2301 FOX DRIVE,CHAMPAIGN,61820
542,1602 E. UNIVERSITY,1602  E. UNIVERSITY,URBANA,
543,VERMILION RIV OBSERV ANT O FAC,13589 S. UNION ROAD,DANVILLE,61834
544,VERMILION RIVER OBSERVATORY GARAGE,CO. RD. 2050 EAST,DANVILLE,61834
545,709 W. UNIVERSITY,709 W. UNIVERSITY,URBANA,61801
546,"267 DUPAGE, MAHOMET",267   DUPAGE,MAHOMET,
547,510 DEVONSHIRE,510 DEVONSHIRE,CHAMPAIGN,61820
548,BALLSTON TOWERS,"901 N. STUART, ST 800",ARLINGTON,22203
549,GETZ HALL - PHILLIPS TRACT,1735 N 1700 E(COTTONWOOD RD),URBANA,61801
551,RICHMOND STUDIO,1110 W. MAIN,URBANA,61801
552,BONDVILLE ROAD FIELD STATION,BONDVILLE ROAD,BONDVILLE,61815
553,MONTICELLO ROAD FIELD STATION,719 E. COUNTY RD 1000 N,MONTICELLO,61856
554,WILL TV TOWER,STRINGTOWN LANE,MONTICELLO,61856
555,"401 E. JOHN, CHAMPAIGN",401  E JOHN,CHAMPAIGN,
556,FIRE SUB STATION,1105 W. GREGORY DR.,URBANA,61801
557,F-29 PARKING DECK,"1001 S. DORNER DR.,",URBANA,61801
558,NEWTON HOUSE,NULL,CHAMPAIGN,61820
559,111 E. GREEN STREET,111 E. GREEN STREET,CHAMPAIGN,61820
560,EICHELBERGER FIELD AND PRESS BOX,1201 W. FLORIDA AVE.,URBANA,61801
561,NORTH ANNEX,408  S. THIRD,CHAMPAIGN,
562,4110 S. FIRST STREET,4110  S. FIRST STREET,CHAMPAIGN,
563,SIEBEL CENTER FOR COMPUTER SCIENCE,201 N. GOODWIN AVENUE,URBANA,61801
564,NAT CENTER FOR SUPERCOMP APPL,1205 W. CLARK ST.,URBANA,61801
565,CARLE FORUM,611 W. PARK,URBANA,61801
566,709 S. WRIGHT,709  S WRIGHT STREET,CHAMPAIGN,
567,1008 W. UNIVERSITY,1008  W UNIVERSITY AVENUE,URBANA,
568,1206 W. NEVADA,1206 W. NEVADA,URBANA,61801
569,2321 SOUTH FIRST STREET,2321  S. FIRST STREET,CHAMPAIGN,
570,2323/2325 SOUTH FIRST STREET,2323  S. FIRST STREET,CHAMPAIGN,
572,100 TRADE CENTER,100 TRADE CENTER DRIVE,CHAMPAIGN,61820
573,106 E. DANIEL,106 E DANIEL,CHAMPAIGN,61856
 600-699,,,,
600,TEST CELL - RANTOUL,RANTOUL AVIATION CENTER,RANTOUL,61866
613,"1808 WOODFIELD DRIVE, SAVOY",1808 WOODFIELD DRIVE,SAVOY,61874
650,AIRPORT NORTH FUEL FARM,40 AIRPORT ROAD,SAVOY,61874
651,HUMAN FACTORS DIVISION,4 AIRPORT ROAD,SAVOY,61874
652,CONTROL TOWER,1 AIRPORT ROAD,SAVOY,61874
653,JET TEST CELL,22 AIRPORT ROAD,SAVOY,61874
655,RECIPROCATING ENGINE TEST CELL,30 AIRPORT ROAD,SAVOY,61874
656,SNOW REMOVAL EQUIPMENT BUILDING,WILLARD AIRPORT,SAVOY,61874
657,AIRPORT OPERATIONS GARAGE,25 AIRPORT ROAD,SAVOY,61874
658,HANGAR #4,24 AIRPORT ROAD,SAVOY,61874
659,LINEMAN'S BUILDING,20 AIRPORT ROAD,SAVOY,61874
660,SNACK BAR & LOUNGE,20 AIRPORT ROAD,SAVOY,61874
661,HANGAR #1,20 AIRPORT ROAD,SAVOY,61874
662,MISCELLANEOUS ,1 AIRPORT ROAD,SAVOY,61874
663,HANGAR #2,5 AIRPORT ROAD,SAVOY,61874
664,NAVY BUILDING,10 AIRPORT ROAD,SAVOY,61874
665,QUONSET #1,12 AIRPORT ROAD,SAVOY,61874
666,QUONSET #2,14 AIRPORT ROAD,SAVOY,61874
667,QUONSET #3,2 AIRPORT ROAD,SAVOY,61874
668,QUONSET #4,4 AIRPORT ROAD,SAVOY,61874
669,QUONSET #5,6 AIRPORT ROAD,SAVOY,61874
670,QUONSET #6,18 AIRPORT ROAD,SAVOY,61874
